company_name,high,low,last_price,prev_close,change,percent_gain
Titan Company,"2,078.00","1,966.50","2,071.90","1,961.70",110.2,5.62
HCL Tech,991.85,963.65,990.95,960.05,30.9,3.22
Tata Motors,396.40,387.00,394.95,382.70,12.25,3.2
Hindalco,335.35,325.60,331.15,321.50,9.65,3
TCS,"3,207.95","3,125.40","3,202.30","3,112.40",89.9,2.89
Dr Reddys Labs,"4,275.00","4,160.10","4,270.00","4,151.80",118.2,2.85
Adani Ports,684.80,667.10,681.00,663.15,17.85,2.69
JSW Steel,569.70,552.70,565.05,550.35,14.7,2.67
Britannia,"3,465.90","3,375.05","3,463.35","3,378.60",84.75,2.51
SBI,446.35,437.60,445.55,434.70,10.85,2.5
Infosys,"1,448.00","1,422.75","1,446.40","1,414.15",32.25,2.28
Wipro,424.40,416.65,423.75,414.65,9.1,2.19
Divis Labs,"3,613.90","3,540.00","3,603.20","3,533.55",69.65,1.97
M&M,"1,004.40",981.80,"1,001.95",982.70,19.25,1.96
ONGC,138.40,135.00,137.00,134.40,2.6,1.93
Coal India,181.50,178.00,180.20,176.85,3.35,1.89
Hero Motocorp,"2,524.85","2,465.00","2,497.50","2,452.55",44.95,1.83
Maruti Suzuki,"7,840.00","7,625.15","7,800.65","7,660.95",139.7,1.82
Cipla,943.75,927.10,942.25,925.85,16.4,1.77
ICICI Bank,698.75,688.60,697.00,685.95,11.05,1.61
Sun Pharma,820.00,805.35,818.20,805.30,12.9,1.6
TATA Cons. Prod,733.00,720.00,728.35,716.85,11.5,1.6
Asian Paints,"2,705.00","2,640.00","2,702.80","2,660.70",42.1,1.58
UPL,656.55,642.25,650.50,640.45,10.05,1.57
HDFC Life,563.55,555.00,561.60,553.15,8.45,1.53
HDFC,"2,171.05","2,138.65","2,166.05","2,135.25",30.8,1.44
IndusInd Bank,799.00,783.45,795.25,784.05,11.2,1.43
Bharti Airtel,651.85,640.50,649.65,640.90,8.75,1.37
Larsen,"1,502.55","1,476.90","1,491.60","1,471.80",19.8,1.35
HDFC Bank,"1,341.55","1,324.05","1,339.65","1,322.15",17.5,1.32
NTPC,139.70,137.90,139.00,137.25,1.75,1.28
Eicher Motors,"2,711.00","2,632.15","2,656.00","2,623.25",32.75,1.25
SBI Life Insura,"1,095.70","1,077.35","1,089.25","1,075.95",13.3,1.24
UltraTechCement,"5,410.00","5,262.05","5,398.00","5,333.30",64.7,1.21
HUL,"2,224.90","2,172.15","2,220.55","2,195.90",24.65,1.12
Bajaj Auto,"3,675.00","3,616.05","3,656.15","3,615.95",40.2,1.11
Nestle,"17,200.00","16,968.30","17,154.65","16,967.10",187.55,1.11
BPCL,300.75,293.35,299.15,296.05,3.1,1.05
Kotak Mahindra,"1,700.00","1,672.55","1,696.05","1,679.20",16.85,1
ITC,266.90,264.10,266.60,264.10,2.5,0.95
Axis Bank,635.65,628.15,633.85,628.30,5.55,0.88
Grasim,"1,333.55","1,316.55","1,326.75","1,316.00",10.75,0.82
Tech Mahindra,993.95,980.00,986.65,979.35,7.3,0.75
Power Grid Corp,210.45,207.30,209.80,208.25,1.55,0.74
Tata Steel,881.75,864.00,867.30,861.40,5.9,0.68
Bajaj Finance,"5,530.65","5,455.00","5,484.50","5,470.45",14.05,0.26
Bajaj Finserv,"11,927.40","11,679.90","11,739.85","11,709.65",30.2,0.26
Shree Cements,"18,665.95","18,414.00","18,461.90","18,414.00",47.9,0.26
Apollo Hospital,"3,869.00","3,803.60","3,819.75","3,811.70",8.05,0.21
Reliance,"2,573.35","2,528.30","2,547.90","2,543.05",4.85,0.19
