Status,Exposure.Location,Street,Suburb,Date,Arrival.Time,Departure.Time,Contact,type
,IGA O'Connor,3 Sargood Street,O'Connor,18/08/2021 - Wednesday,1:15pm,2:15pm,Monitor,Monitor 
,Caltex Erindale,McBryde Crescent and Denigan Street,Wanniassa,19/08/2021 - Thursday,2:00pm,6:00pm,Monitor,Monitor 
,Coles Amaroo,Horse Park Drive,Amaroo,22/08/2021 - Sunday,8:40am,10:00am,Casual,Casual 
,Belconnen Discount Pharmacy (Priceline),1-5 Chandler Street,Belconnen,23/08/2021 - Monday,1:10pm,2:20pm,Casual,Casual 
,Evatt Newsagency,3 Heydon Place,Evatt,24/08/2021 - Tuesday,9:20am,10:00am,Monitor,Monitor 
,Bunnings Gungahlin,10 Gribble Street,Gungahlin,24/08/2021 - Tuesday,11:30am,12:45pm,Casual,Casual 
,85 Degrees,"Canberra Centre, 148 Bunda Street",Canberra City,18/08/2021 - Wednesday,1:00pm,2:00pm,Monitor,Monitor 
,85 Degrees,"Canberra Centre, 148 Bunda Street",Canberra City,18/08/2021 - Wednesday,4:00pm,4:30pm,Monitor,Monitor 
,Bright Bees Childcare,40 O'Hanlon Place,Nicholls,18/08/2021 - Wednesday,8:00am,5:00pm,Close,Close 
,Canberra Centre,"Canberra Centre, 148 Bunda Street",Canberra City,18/08/2021 - Wednesday,1:00pm,5:00pm,Monitor,Monitor 
,Coles Manuka,Franklin Street and Flinders Way,Griffith,18/08/2021 - Wednesday,3:00pm,5:30pm,Monitor,Monitor 
,Condamine Court,40-48 Forbes Street,Turner,18/08/2021 - Wednesday,12:00am,11:59pm,Close,Close 
,Crust Pizza Weston,2-4 Liardet Street,Weston,18/08/2021 - Wednesday,6:30pm,8:30pm,Monitor,Monitor 
,Erindale Pharmacy,2 Denigan Street,Wanniassa,18/08/2021 - Wednesday,11:00am,11:30am,Monitor,Monitor 
,Guzman y Gomez Canberra Centre,148 Bunda Street,Canberra City,18/08/2021 - Wednesday,2:45pm,10:00pm,Casual,Casual 
,Oliver Brown Canberra Centre,148 Bunda Street,Canberra City,18/08/2021 - Wednesday,4:15pm,5:10pm,Casual,Casual 
,The Butcher Shop Wanniassa,60 Comrie Street,Wanniassa,18/08/2021 - Wednesday,11:15am,12:00pm,Monitor,Monitor 
,Warrumbul Lodge,4 Hutton Street,Canberra City,18/08/2021 - Wednesday,12:00am,11:59pm,Casual,Casual 
,Westfield Belconnen,"Westfield Belconnen, Benjamin Way",Belconnen,18/08/2021 - Wednesday,12:00pm,2:00pm,Monitor,Monitor 
,Woolworths Wanniassa,"Erindale Shopping Centre, 50-68 Comrie Street",Wanniassa,18/08/2021 - Wednesday,11:00am,11:40am,Monitor,Monitor 
,Bright Bees Childcare,40 O'Hanlon Place,Nicholls,19/08/2021 - Thursday,8:00am,5:00pm,Close,Close 
,Chemist Warehouse Gungahlin,30 Hibberson Street,Gungahlin,19/08/2021 - Thursday,12:40pm,1:25pm,Monitor,Monitor 
